title,duration,releasetime,genre
The Shawshank Redemption,2h 22m,14-Oct-94,drama
The Godfather,2h 55m,24-Mar-72,crime
The Dark Knight,2h 32m,20-Dec-74,action
The Godfather: Part II,3h 22m,18-Jul-08,crime
12 Angry Men,1h 36m,1-Apr-57,crime
Schindler's List,3h 15m,4-Feb-94,biography
The Lord of the Rings: The Return of the King,3h 21m,17-Dec-03,action
Pulp Fiction,2h 34m,14-Oct-94,crime
The Lord of the Rings: The Fellowship of the Ring,2h 58m,15-Oct-99,action
"Il Buono, il brutto, il cattivo.",2h 41m,19-Dec-01,adventure
Forrest Gump,2h 22m,6-Jul-94,drama
Fight Club,2h 19m,20-Jun-80,drama
The Lord of the Rings: The Two Towers,2h 59m,16-Jul-10,action
Inception,2h 28m,18-Dec-02,action
Star Wars: Episode V - The Empire Strikes Back,2h 4m,19-Nov-75,action
The Matrix,2h 16m,21-Sep-90,action
Goodfellas,2h 25m,31-Mar-99,biography
One Flew Over the Cuckoo's Nest,2h 13m,25-May-77,drama
Se7en,2h 7m,22-Sep-95,crime
It's a Wonderful Life,2h 10m,7-Jan-47,drama
Shichinin no samurai,3h 27m,14-Feb-91,action
Interstellar,2h 49m,15-Sep-95,adventure
The Silence of the Lambs,1h 58m,18-Nov-94,crime
Saving Private Ryan,2h 49m,24-Jul-98,drama
Cidade de Deus,2h 10m,7-Mar-31,crime
La Vita ? bella,1h 56m,7-Nov-14,comedy
The Green Mile,3h 9m,20-Nov-98,crime
Spider-Man: Across the Spider-Verse,2h 20m,25-Feb-36,animation
Star Wars,2h 1m,23-Jan-43,action
Terminator 2: Judgment Day,2h 17m,10-Dec-99,action
Back to the Future,1h 56m,8-Sep-60,adventure
Sen to Chihiro no kamikakushi,2h 5m,12-Jun-81,animation
The Pianist,2h 30m,28-Mar-03,biography
Psycho,1h 49m,1-Sep-54,horror
Gisaengchung,2h 12m,6-Oct-06,drama
Gladiator,2h 35m,15-Oct-14,action
The Lion King,1h 28m,3-Jul-91,animation
L?on,1h 50m,3-Jul-85,action
American History X,1h 59m,5-May-00,crime
The Departed,2h 31m,24-Jun-94,crime
