title,director,writer,producer
The Shawshank Redemption,Frank Darabont,Stephen King ,Liz Glotzer
The Godfather,Francis Ford Coppola,Mario Puzo ,Gray Frederickson
The Dark Knight,Francis Ford Coppola,Francis Ford Coppola ,Kevin de la Noy
The Godfather: Part II,Christopher Nolan,Jonathan Nolan ,Francis Ford Coppola
12 Angry Men,Sidney Lumet,Reginald Rose ,Henry Fonda
Schindler's List,Steven Spielberg,Thomas Keneally ,Irving Glovin
The Lord of the Rings: The Return of the King,Peter Jackson,J.R.R. Tolkien ,Peter Jackson
Pulp Fiction,Quentin Tarantino,Quentin Tarantino ,Lawrence Bender
The Lord of the Rings: The Fellowship of the Ring,David Fincher,Chuck Palahniuk ,Peter Jackson
"Il Buono, il brutto, il cattivo.",Peter Jackson,J.R.R. Tolkien ,Alberto Grimaldi
Forrest Gump,Robert Zemeckis,Winston Groom ,Wendy Finerman
Fight Club,Irvin Kershner,Leigh Brackett ,Ross Grayson Bell
The Lord of the Rings: The Two Towers,Christopher Nolan,Christopher Nolan,Peter Jackson
Inception,Peter Jackson,J.R.R. Tolkien ,Zakaria Alaoui
Star Wars: Episode V - The Empire Strikes Back,Milos Forman,Lawrence Hauben ,Jim Bloom
The Matrix,Martin Scorsese,Nicholas Pileggi ,Bruce Berman
Goodfellas,Lana Wachowski,Lilly Wachowski,Barbara De Fina
One Flew Over the Cuckoo's Nest,George Lucas,George Lucas,Michael Douglas
Se7en,David Fincher,Andrew Kevin Walker,Stephen Joel Brown
It's a Wonderful Life,Frank Capra,Frances Goodrich ,Frank Capra
Shichinin no samurai,Jonathan Demme,Thomas Harris ,S?jir? Motoki
Interstellar,Bryan Singer,Christopher McQuarrie,Kaari Autry
The Silence of the Lambs,Luc Besson,Luc Besson,Grace Blake
Saving Private Ryan,Steven Spielberg,Robert Rodat,Ian Bryce
Cidade de Deus,Charles Chaplin,Charles Chaplin,Andrea Barata Ribeiro
La Vita ? bella,Christopher Nolan,Jonathan Nolan,Gianluigi Braschi
The Green Mile,Tony Kaye,David McKenna,Frank Darabont
Spider-Man: Across the Spider-Verse,Charles Chaplin,Charles Chaplin,Avi Arad
Star Wars,Michael Curtiz,Julius J. Epstein ,Gary Kurtz
Terminator 2: Judgment Day,Frank Darabont,Stephen King ,Stephanie Austin
Back to the Future,Alfred Hitchcock,Joseph Stefano ,Neil Canton
Sen to Chihiro no kamikakushi,Steven Spielberg,Lawrence Kasdan ,Hironori Aihara
The Pianist,Roman Polanski,Ronald Harwood ,Robert Benmussa
Psycho,Alfred Hitchcock,John Michael Hayes ,Alfred Hitchcock
Gisaengchung,Martin Scorsese,William Monahan ,Min Heoi Heo
Gladiator,Damien Chazelle,Damien Chazelle,David Franzoni
The Lion King,James Cameron,James Cameron,Alice Dewey Goldstone
L?on,Robert Zemeckis,Robert Zemeckis,Claude Besson
American History X,Ridley Scott,David Franzoni ,Bill Carraro
The Departed,Roger Allers,Irene Mecchi ,Michael Aguilar
Whiplash,Christopher Nolan,Jonathan Nolan ,Jason Blum
The Prestige,Francis Ford Coppola,John Milius,Christopher Ball
The Usual Suspects,Christopher Nolan,Christopher Nolan ,Joey Goubeaud
Hotaru no haka,Charles Chaplin,Charles Chaplin,Hans Brockmann
Seppuku,Billy Wilder,Charles Brackett,Hans Brockmann
Casablanca,Ridley Scott,Dan O'Bannon ,Hal B. Wallis
Intouchables,Stanley Kubrick,Stanley Kubrick ,Arnaud Bertrand
Modern Times,Stanley Kubrick,Stanley Kubrick ,Charles Chaplin
Nuovo cinema Paradiso,Quentin Tarantino,Quentin Tarantino,Gabriella Carosio
C'era una volta il West,Stanley Kubrick,Stephen King ,Bino Cicogna
Rear Window,Billy Wilder,Agatha Christie ,Alfred Hitchcock
Alien,Christopher Nolan,Jonathan Nolan ,Gordon Carroll
City Lights,Andrew Stanton,Andrew Stanton ,Gordon Carroll
Apocalypse Now,Sam Mendes,Alan Ball,John Ashley
Django Unchained,Sergio Leone,Harry Grey ,William Paul Clark
Memento,James Cameron,James Cameron ,Christopher Ball
Raiders of the Lost Ark,Orson Welles,Herman J. Mankiewicz ,Howard G. Kazanjian
WALL¡PE,Alfred Hitchcock,Ernest Lehman,Lindsey Collins
Das Leben der Anderen,Alfred Hitchcock,Alec Coppel ,Lindsey Collins
Oppenheimer,Richard Marquand,Lawrence Kasdan ,Charles Brackett
Sunset Blvd.,Mel Gibson,Randall Wallace,Kirk Douglas
Paths of Glory,Quentin Tarantino,Quentin Tarantino,Thomas Hayslip
Avengers: Infinity War,Billy Wilder,Billy Wilder ,Victoria Alonso
The Shining,Darren Aronofsky,Hubert Selby Jr. ,Robert Fryer
Spider-Man: Into the Spider-Verse,David Lean,T.E. Lawrence ,Will Allegra
The Great Dictator,Charles Chaplin,Charles Chaplin,Arthur Hornblow Jr.
Witness for the Prosecution,Stanley Kubrick,Stanley Kubrick ,Charles Chaplin
Aliens,Milos Forman,Peter Shaffer ,Gordon Carroll
Inglourious Basterds,Robert Mulligan,Harper Lee ,Lawrence Bender
