Oscar,Total,MovieName
Nominated for 7 Oscars,21 wins & 42 nominations total,The Shawshank Redemption
Won 3 Oscars,30 wins & 31 nominations total,The Godfather
Won 2 Oscars,162 wins & 164 nominations total,The Dark Knight
Won 6 Oscars,17 wins & 21 nominations total,The Godfather: Part II
Nominated for 3 Oscars,16 wins & 12 nominations total,12 Angry Men
Won 7 Oscars,91 wins & 49 nominations total,Schindler's List
Won 11 Oscars,215 wins & 124 nominations total,The Lord of the Rings: The Return of the King
Won 1 Oscar,69 wins & 72 nominations total,Pulp Fiction
Won 4 Oscars,125 wins & 127 nominations total,The Lord of the Rings: The Fellowship of the Ring
Awards,2 wins & 5 nominations,"Il Buono, il brutto, il cattivo."
Won 6 Oscars,50 wins & 74 nominations total,Forrest Gump
Nominated for 1 Oscar,12 wins & 38 nominations total,Fight Club
Won 2 Oscars,132 wins & 138 nominations total,The Lord of the Rings: The Two Towers
Won 4 Oscars,159 wins & 220 nominations total,Inception
Won 1 Oscar,26 wins & 20 nominations total,Star Wars: Episode V - The Empire Strikes Back
Won 4 Oscars,42 wins & 52 nominations total,The Matrix
Won 1 Oscar,44 wins & 38 nominations total,Goodfellas
Won 5 Oscars,38 wins & 15 nominations total,One Flew Over the Cuckoo's Nest
Nominated for 1 Oscar,29 wins & 43 nominations total,Se7en
Nominated for 5 Oscars,7 wins & 6 nominations total,It's a Wonderful Life
Nominated for 2 Oscars,5 wins & 9 nominations total,Shichinin no samurai
Won 1 Oscar,44 wins & 148 nominations total,Interstellar
Won 5 Oscars,70 wins & 50 nominations total,The Silence of the Lambs
Won 5 Oscars,79 wins & 75 nominations total,Saving Private Ryan
Nominated for 4 Oscars,75 wins & 50 nominations total,Cidade de Deus
Won 3 Oscars,72 wins & 52 nominations total,La Vita ? bella
Nominated for 4 Oscars,15 wins & 37 nominations total,The Green Mile
Awards,8 wins & 3 nominations,Spider-Man: Across the Spider-Verse
Won 6 Oscars,65 wins & 31 nominations total,Star Wars
Won 4 Oscars,38 wins & 33 nominations total,Terminator 2: Judgment Day
Won 1 Oscar,23 wins & 25 nominations total,Back to the Future
Won 1 Oscar,58 wins & 31 nominations total,Sen to Chihiro no kamikakushi
Won 3 Oscars,57 wins & 74 nominations total,The Pianist
Nominated for 4 Oscars,8 wins & 14 nominations total,Psycho
Won 4 Oscars,306 wins & 264 nominations total,Gisaengchung
Won 5 Oscars,60 wins & 104 nominations total,Gladiator
Won 2 Oscars,43 wins & 35 nominations total,The Lion King
Awards,5 wins & 16 nominations,L?on
Nominated for 1 Oscar,4 wins & 15 nominations total,American History X
Won 4 Oscars,98 wins & 141 nominations total,The Departed
Won 3 Oscars,98 wins & 144 nominations total,Whiplash
Nominated for 2 Oscars,6 wins & 45 nominations total,The Prestige
Won 2 Oscars,37 wins & 17 nominations total,The Usual Suspects
Awards,3 wins,Hotaru no haka
Awards,9 wins & 3 nominations,Seppuku
Won 3 Oscars,14 wins & 10 nominations total,Casablanca
Nominated for 1 BAFTA Award,38 wins & 40 nominations total,Intouchables
Awards,4 wins & 1 nomination,Modern Times
Won 1 Oscar,25 wins & 32 nominations total,Nuovo cinema Paradiso
Awards,6 wins & 5 nominations,C'era una volta il West
Nominated for 4 Oscars,6 wins & 13 nominations total,Rear Window
Won 1 Oscar,18 wins & 22 nominations total,Alien
Awards,4 wins,City Lights
Won 2 Oscars,21 wins & 33 nominations total,Apocalypse Now
Won 2 Oscars,58 wins & 158 nominations total,Django Unchained
Nominated for 2 Oscars,57 wins & 59 nominations total,Memento
Won 4 Oscars,38 wins & 24 nominations total,Raiders of the Lost Ark
Won 1 Oscar,96 wins & 95 nominations total,WALL¡PE
Won 1 Oscar,80 wins & 38 nominations total,Das Leben der Anderen
Awards,3 wins & 3 nominations,Oppenheimer
Won 3 Oscars,19 wins & 20 nominations total,Sunset Blvd.
