title,oscar,total
The Shawshank Redemption,Nominated for 7 Oscars,21 wins & 42 nominations total
The Godfather,Won 3 Oscars,30 wins & 31 nominations total
The Dark Knight,Won 2 Oscars,162 wins & 164 nominations total
The Godfather: Part II,Won 6 Oscars,17 wins & 21 nominations total
12 Angry Men,Nominated for 3 Oscars,16 wins & 12 nominations total
Schindler's List,Won 7 Oscars,91 wins & 49 nominations total
The Lord of the Rings: The Return of the King,Won 11 Oscars,215 wins & 124 nominations total
Pulp Fiction,Won 1 Oscar,69 wins & 72 nominations total
The Lord of the Rings: The Fellowship of the Ring,Won 4 Oscars,125 wins & 127 nominations total
"Il Buono, il brutto, il cattivo.",NULL,2 wins & 5 nominations
Forrest Gump,Won 6 Oscars,50 wins & 74 nominations total
Fight Club,Nominated for 1 Oscar,12 wins & 38 nominations total
The Lord of the Rings: The Two Towers,Won 2 Oscars,132 wins & 138 nominations total
Inception,Won 4 Oscars,159 wins & 220 nominations total
Star Wars: Episode V - The Empire Strikes Back,Won 1 Oscar,26 wins & 20 nominations total
The Matrix,Won 4 Oscars,42 wins & 52 nominations total
Goodfellas,Won 1 Oscar,44 wins & 38 nominations total
One Flew Over the Cuckoo's Nest,Won 5 Oscars,38 wins & 15 nominations total
Se7en,Nominated for 1 Oscar,29 wins & 43 nominations total
It's a Wonderful Life,Nominated for 5 Oscars,7 wins & 6 nominations total
Shichinin no samurai,Nominated for 2 Oscars,5 wins & 9 nominations total
Interstellar,Won 1 Oscar,44 wins & 148 nominations total
The Silence of the Lambs,Won 5 Oscars,70 wins & 50 nominations total
Saving Private Ryan,Won 5 Oscars,79 wins & 75 nominations total
Cidade de Deus,Nominated for 4 Oscars,75 wins & 50 nominations total
La Vita ? bella,Won 3 Oscars,72 wins & 52 nominations total
The Green Mile,Nominated for 4 Oscars,15 wins & 37 nominations total
Spider-Man: Across the Spider-Verse,NULL,8 wins & 3 nominations
Star Wars,Won 6 Oscars,65 wins & 31 nominations total
Terminator 2: Judgment Day,Won 4 Oscars,38 wins & 33 nominations total
Back to the Future,Won 1 Oscar,23 wins & 25 nominations total
Sen to Chihiro no kamikakushi,Won 1 Oscar,58 wins & 31 nominations total
The Pianist,Won 3 Oscars,57 wins & 74 nominations total
Psycho,Nominated for 4 Oscars,8 wins & 14 nominations total
Gisaengchung,Won 4 Oscars,306 wins & 264 nominations total
Gladiator,Won 5 Oscars,60 wins & 104 nominations total
The Lion King,Won 2 Oscars,43 wins & 35 nominations total
L?on,NULL,5 wins & 16 nominations
American History X,Nominated for 1 Oscar,4 wins & 15 nominations total
The Departed,Won 4 Oscars,98 wins & 141 nominations total
Whiplash,Won 3 Oscars,98 wins & 144 nominations total
The Prestige,Nominated for 2 Oscars,6 wins & 45 nominations total
The Usual Suspects,Won 2 Oscars,37 wins & 17 nominations total
Hotaru no haka,NULL,3 wins
Seppuku,NULL,9 wins & 3 nominations
Casablanca,Won 3 Oscars,14 wins & 10 nominations total
Intouchables,Nominated for 1 BAFTA Award,38 wins & 40 nominations total
Modern Times,NULL,4 wins & 1 nomination
Nuovo cinema Paradiso,Won 1 Oscar,25 wins & 32 nominations total
C'era una volta il West,NULL,6 wins & 5 nominations
Rear Window,Nominated for 4 Oscars,6 wins & 13 nominations total
Alien,Won 1 Oscar,18 wins & 22 nominations total
City Lights,NULL,4 wins
Apocalypse Now,Won 2 Oscars,21 wins & 33 nominations total
Django Unchained,Won 2 Oscars,58 wins & 158 nominations total
Memento,Nominated for 2 Oscars,57 wins & 59 nominations total
